algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v1,82944,,3593.4550558017827,11.687841707505282,-1.6916750386357307,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,83968,,3769.9025754886425,11.703972236342338,-1.6920751750469207,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,84992,,4183.373093786194,11.728098233048742,-1.6924136653542519,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,86016,,3873.728959746798,11.738826060515828,-1.6929662942886352,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,87040,,3481.77520783429,11.925077358663046,-1.6933256000280381,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,88064,,3819.7369037206945,11.528915993700553,-1.6929931089282035,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,89088,,4139.991712683509,11.712102163686232,-1.6933896780014037,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,90112,,4382.186596410196,11.666532487392551,-1.6935149878263474,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,91136,,3619.781174305408,11.876748257174855,-1.6934702008962632,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,92160,,3340.7949515496357,11.793688489937177,-1.6928206503391265,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,93184,,3707.8266975104184,11.895785192889063,-1.6929133251309394,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,94208,,3607.3823550098923,11.686193436042904,-1.6933238923549652,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,95232,,3300.275040728359,11.747388128196636,-1.6925004318356514,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,96256,,3561.3829567353837,11.725249524218784,-1.6922920376062394,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,97280,,3883.9344503638968,11.84987450459698,-1.6926313877105712,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,98304,,3949.376068511592,11.905409710234757,-1.692499040067196,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,99328,,3861.361880330568,11.693646126636727,-1.692464615404606,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,100352,,3994.9636697157075,11.962494489481607,-1.6924024820327759,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,101376,,3943.2919728736533,11.79105723995164,-1.6928817480802536,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,102400,,4151.1279335554555,11.718078828965025,-1.6936325773596763,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,103424,,4166.13442251886,11.7025313866189,-1.6940880015492439,"reward raw, penalty 300, chi Town04"
PPO,ppo_v2,102400,0.6658251585011832,1278.4980818625722,14.245844982758616,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,103424,0.07288110462336783,3302.5851736859763,15.615164890289071,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,104448,0.8729378546754764,3885.2838067695693,15.585300043532124,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,105472,0.8282880712070237,4052.5536336429864,15.25674652074262,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,106496,0.9693898218343945,4181.686982749824,15.320996406858319,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,107520,0.8531072202271487,3634.647819065857,15.110491697806948,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,108544,0.6550412004592391,3428.6962944652905,15.33448335336507,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,109568,0.8621407147542397,4181.982472854463,15.574623457402938,-1.6933263540267944,"reward raw, penalty 1000"
PPO,ppo_v2,110592,0.8020524214162551,2352.0677849162303,15.512764001216773,-1.6933263540267944,"reward raw, penalty 1000"
