algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,44032,,time_limit,500,6258.647097330569,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,time_limit,500,6764.093643330386,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,collision,47,-87.23627722886908,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,collision,173,146.40212999183728,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,collision,315,722.1173492024902,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,45056,,collision,99,133.7697603145649,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,46080,,collision,428,4157.261483217842,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,46080,,time_limit,500,5986.76683182197,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,47104,,time_limit,500,5804.261507210946,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,47104,,time_limit,500,5402.136772595934,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,48128,,time_limit,500,5862.981967928101,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,48128,,collision,238,1486.0899036938767,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,48128,,time_limit,500,6082.218807423294,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,49152,,time_limit,500,5108.635535144594,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,49152,,time_limit,500,5328.685316175613,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,50176,,time_limit,500,3280.8137633669244,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,50176,,collision,98,68.33720399543586,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,50176,,collision,482,4928.428262867703,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,51200,,time_limit,500,5420.50357749127,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,51200,,collision,49,-86.55025590093683,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,51200,,time_limit,500,5796.849872993324,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,52224,,collision,252,1168.8706179269288,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,52224,,time_limit,500,6058.487028812344,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,52224,,collision,102,-154.53183801623783,,,"reward raw, penalty 300, chi Town04"
