loai,nhan,lan_chay,chuoi,env_step,ham_reward,ban_do,do_dai,reward,lech_lan_m,junction_steps,ket_thuc,va_cham_pct,n,policy_loss,value_loss,entropy,explained_variance,approx_kl,clip_fraction,steps_per_sec,ghi_chu
episode,ppo_v1,ppo_v1,PPO-A reward tho,27648,raw,,500,5739.759913066999,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,27648,raw,,108,437.96110929934633,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,27648,raw,,117,250.0826810820987,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,27648,raw,,156,729.4805384296185,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,28672,raw,,500,4949.45687531474,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,28672,raw,,500,5530.4413940633785,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,29696,raw,,500,5270.55867870956,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,29696,raw,,500,3614.5464696876033,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,29696,raw,,58,-57.048964053811176,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,29696,raw,,192,762.1967623758391,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,30720,raw,,447,4194.9101169656615,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,30720,raw,,500,6333.338566129472,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,31744,raw,,500,4862.330238079315,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,31744,raw,,84,364.13193300451775,,,off_lane,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,31744,raw,,500,6341.754576755322,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,32768,raw,,232,598.8490604908361,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,32768,raw,,380,2157.103542517195,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,32768,raw,,500,5764.718920226166,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,32768,raw,,95,253.06042219816794,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,33792,raw,,117,362.59490867113624,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,33792,raw,,194,1066.0877789206234,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,33792,raw,,500,5225.860738406463,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,34816,raw,,500,5080.827349820733,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,34816,raw,,500,4790.872566546189,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,35840,raw,,500,6293.072769453871,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,35840,raw,,500,6375.3437491691675,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,36864,raw,,339,3855.502362678778,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,36864,raw,,500,6101.395061742731,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,36864,raw,,112,524.7793460206851,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,37888,raw,,500,5728.394995587742,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,37888,raw,,199,601.1704845861917,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,37888,raw,,500,5287.675083650302,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,38912,raw,,500,3316.813261778388,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,38912,raw,,500,5056.786936471388,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,39936,raw,,500,6557.450463705781,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,39936,raw,,180,883.6631409013546,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,39936,raw,,443,864.4263931203571,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,39936,raw,,37,-157.74751586127314,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,40960,raw,,500,5881.801821605458,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,40960,raw,,97,288.5264872724123,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,41984,raw,,500,4910.063824167307,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,41984,raw,,149,566.6992306941496,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,41984,raw,,500,5500.055876330179,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,43008,raw,,500,5538.819623136767,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,43008,raw,,500,5677.197201766548,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,43008,raw,,49,-82.69790935470726,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,44032,raw,,500,3208.0486478315293,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,44032,raw,,77,202.23594628628757,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,44032,raw,,500,6258.647097330569,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,45056,raw,,500,6764.093643330386,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,45056,raw,,47,-87.23627722886908,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,45056,raw,,173,146.40212999183728,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,45056,raw,,315,722.1173492024902,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,45056,raw,,99,133.7697603145649,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,46080,raw,,428,4157.261483217842,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,46080,raw,,500,5986.76683182197,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,47104,raw,,500,5804.261507210946,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,47104,raw,,500,5402.136772595934,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,48128,raw,,500,5862.981967928101,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,48128,raw,,238,1486.0899036938767,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,48128,raw,,500,6082.218807423294,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,49152,raw,,500,5108.635535144594,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,49152,raw,,500,5328.685316175613,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,50176,raw,,500,3280.8137633669244,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,50176,raw,,98,68.33720399543586,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,50176,raw,,482,4928.428262867703,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,51200,raw,,500,5420.50357749127,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,51200,raw,,49,-86.55025590093683,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,51200,raw,,500,5796.849872993324,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,52224,raw,,252,1168.8706179269288,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,52224,raw,,500,6058.487028812344,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,52224,raw,,102,-154.53183801623783,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,53248,raw,,500,3395.7745416668813,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,53248,raw,,484,5066.824613985125,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,53248,raw,,202,825.6091094666805,,,collision,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
episode,ppo_v1,ppo_v1,PPO-A reward tho,54272,raw,,500,3682.2072475227583,,,time_limit,,,,,,,,,,"reward tho, phat va cham 300, chi Town04"
